LAT,LON,UTCTIMESOD,THICK,ELEVATION,FRAME,SURFACE,BOTTOM,QUALITY
-65.398541,98.763184,10053.1702,  0.00,1547.4716,2019111501001,1557.07,1557.07,1
-65.398574,98.762872,10053.2773,  0.00,1546.2903,2019111501001,1555.94,1555.94,1
-65.398606,98.762560,10053.3844,  0.00,1545.1084,2019111501001,1553.49,1553.49,1
-65.398639,98.762248,10053.4914,  0.00,1543.9263,2019111501001,1550.86,1550.86,1
-65.398671,98.761935,10053.5985,  0.00,1542.7445,2019111501001,1549.28,1549.28,1
-65.398704,98.761623,10053.7056,  0.00,1541.5629,2019111501001,1548.83,1548.83,1
-65.398736,98.761311,10053.8126,  0.00,1540.3821,2019111501001,1548.17,1548.17,1
-65.398769,98.760999,10053.9197,  0.00,1539.2017,2019111501001,1546.30,1546.30,1
-65.398801,98.760687,10054.0267,  0.00,1538.0220,2019111501001,1543.60,1543.60,1
-65.398834,98.760375,10054.1337,  0.00,1536.8433,2019111501001,1541.47,1541.47,1
-65.398866,98.760063,10054.2408,  0.00,1535.6657,2019111501001,1540.69,1540.69,1
-65.398899,98.759751,10054.3478,  0.00,1534.4890,2019111501001,1540.36,1540.36,1
-65.398931,98.759439,10054.4548,  0.00,1533.3127,2019111501001,1539.15,1539.15,1
-65.398964,98.759127,10054.5618,  0.00,1532.1364,2019111501001,1536.57,1536.57,1
-65.398996,98.758815,10054.6688,  0.00,1530.9602,2019111501001,1533.99,1533.99,1
-65.399029,98.758502,10054.7758,  0.00,1529.7835,2019111501001,1532.55,1532.55,1
-65.399062,98.758190,10054.8827,  0.00,1528.6064,2019111501001,1532.27,1532.27,1
-65.399094,98.757878,10054.9897,  0.00,1527.4285,2019111501001,1532.27,1532.27,1
-65.399127,98.757566,10055.0967,  0.00,1526.2501,2019111501001,1532.27,1532.27,1
-65.399160,98.757254,10055.2036,  0.00,1525.0714,2019111501001,1532.14,1532.14,1
-65.399192,98.756942,10055.3106,  0.00,1523.8930,2019111501001,1531.18,1531.18,1
-65.399225,98.756630,10055.4175,  0.00,1522.7144,2019111501001,1528.72,1528.72,1
-65.399258,98.756318,10055.5244,  0.00,1521.5360,2019111501001,1526.01,1526.01,1
-65.399290,98.756006,10055.6314,  0.00,1520.3576,2019111501001,1524.29,1524.29,1
-65.399323,98.755694,10055.7383,  0.00,1519.1789,2019111501001,1523.95,1523.95,1
-65.399356,98.755382,10055.8452,  0.00,1517.9995,2019111501001,1523.95,1523.95,1
-65.399388,98.755070,10055.9521,  0.00,1516.8190,2019111501001,1523.95,1523.95,1
-65.399421,98.754758,10056.0590,  0.00,1515.6374,2019111501001,1523.86,1523.86,1
-65.399454,98.754446,10056.1659,  0.00,1514.4546,2019111501001,1523.10,1523.10,1
-65.399486,98.754134,10056.2728,  0.00,1513.2703,2019111501001,1520.87,1520.87,1
-65.399519,98.753822,10056.3796,  0.00,1512.0842,2019111501001,1518.06,1518.06,1
-65.399552,98.753510,10056.4865,  0.00,1510.8962,2019111501001,1516.00,1516.00,1
-65.399585,98.753198,10056.5934,  0.00,1509.7064,2019111501001,1515.62,1515.62,1
-65.399617,98.752886,10056.7002,  0.00,1508.5146,2019111501001,1515.62,1515.62,1
-65.399650,98.752574,10056.8071,  0.00,1507.3209,2019111501001,1515.62,1515.62,1
-65.399683,98.752262,10056.9139,  0.00,1506.1253,2019111501001,1515.56,1515.56,1
-65.399715,98.751950,10057.0207,  0.00,1504.9281,2019111501001,1515.00,1515.00,1
-65.399748,98.751639,10057.1275,  0.00,1503.7297,2019111501001,1513.06,1513.06,1
-65.399781,98.751327,10057.2343,  0.00,1502.5298,2019111501001,1510.25,1510.25,1
-65.399814,98.751015,10057.3411,  0.00,1501.3288,2019111501001,1507.95,1507.95,1
-65.399846,98.750703,10057.4479,  0.00,1500.1268,2019111501001,1507.33,1507.33,1
-65.399879,98.750391,10057.5547,  0.00,1498.9241,2019111501001,1507.09,1507.09,1
-65.399912,98.750079,10057.6615,  0.00,1497.7207,2019111501001,1505.99,1505.99,1
-65.399944,98.749767,10057.7682,  0.00,1496.5167,2019111501001,1503.28,1503.28,1
-65.399977,98.749455,10057.8750,  0.00,1495.3127,2019111501001,1500.61,1500.61,1
-65.400010,98.749143,10057.9817,  0.00,1494.1084,2019111501001,1499.16,1499.16,1
-65.400043,98.748831,10058.0885,  0.00,1492.9041,2019111501001,1498.96,1498.96,1
-65.400075,98.748519,10058.1952,  0.00,1491.6996,2019111501001,1498.96,1498.96,1
-65.400108,98.748207,10058.3019,  0.00,1490.4953,2019111501001,1498.96,1498.96,1
-65.400141,98.747895,10058.4086,  0.00,1489.2908,2019111501001,1498.91,1498.91,1
-65.400173,98.747583,10058.5153,  0.00,1488.0866,2019111501001,1498.21,1498.21,1
-65.400206,98.747271,10058.6220,  0.00,1486.8828,2019111501001,1495.54,1495.54,1
-65.400239,98.746959,10058.7287,  0.00,1485.6791,2019111501001,1492.71,1492.71,1
-65.400272,98.746647,10058.8354,  0.00,1484.4759,2019111501001,1490.86,1490.86,1
-65.400304,98.746335,10058.9421,  0.00,1483.2732,2019111501001,1490.63,1490.63,1
-65.400337,98.746023,10059.0488,  0.00,1482.0711,2019111501001,1490.63,1490.63,1
-65.400370,98.745711,10059.1554,  0.00,1480.8695,2019111501001,1490.63,1490.63,1
-65.400402,98.745399,10059.2621,  0.00,1479.6688,2019111501001,1490.60,1490.60,1
-65.400435,98.745087,10059.3687,  0.00,1478.4692,2019111501001,1490.11,1490.11,1
-65.400468,98.744775,10059.4754,  0.00,1477.2709,2019111501001,1487.76,1487.76,1
-65.400500,98.744463,10059.5820,  0.00,1476.0739,2019111501001,1484.85,1484.85,1
-65.400533,98.744151,10059.6886,  0.00,1474.8782,2019111501001,1482.55,1482.55,1
-65.400566,98.743839,10059.7952,  0.00,1473.6837,2019111501001,1482.30,1482.30,1
-65.400598,98.743527,10059.9019,  0.00,1472.4901,2019111501001,1482.10,1482.10,1
-65.400631,98.743215,10060.0085,  0.00,1471.2973,2019111501001,1480.76,1480.76,1
-65.400664,98.742903,10060.1150,  0.00,1470.1054,2019111501001,1477.89,1477.89,1
-65.400696,98.742591,10060.2216,  0.00,1468.9140,2019111501001,1475.16,1475.16,1
-65.400729,98.742279,10060.3282,  0.00,1467.7235,2019111501001,1474.06,1474.06,1
-65.400762,98.741967,10060.4348,  0.00,1466.5337,2019111501001,1473.97,1473.97,1
-65.400794,98.741655,10060.5414,  0.00,1465.3443,2019111501001,1473.97,1473.97,1
-65.400827,98.741343,10060.6479,  0.00,1464.1556,2019111501001,1473.97,1473.97,1
-65.400859,98.741031,10060.7545,  0.00,1462.9672,2019111501001,1473.90,1473.90,1
-65.400892,98.740719,10060.8610,  0.00,1461.7796,2019111501001,1473.09,1473.09,1
-65.400925,98.740407,10060.9676,  0.00,1460.5925,2019111501001,1470.20,1470.20,1
-65.400957,98.740095,10061.0741,  0.00,1459.4064,2019111501001,1467.31,1467.31,1
-65.400990,98.739783,10061.1806,  0.00,1458.2213,2019111501001,1465.74,1465.74,1
-65.401022,98.739471,10061.2872,  0.00,1457.0372,2019111501001,1465.65,1465.65,1
-65.401055,98.739158,10061.3937,  0.00,1455.8542,2019111501001,1465.43,1465.43,1
-65.401087,98.738846,10061.5002,  0.00,1454.6721,2019111501001,1463.28,1463.28,1
-65.401120,98.738534,10061.6067,  0.00,1453.4910,2019111501001,1460.28,1460.28,1
-65.401153,98.738222,10061.7132,  0.00,1452.3108,2019111501001,1457.47,1457.47,1
-65.401185,98.737910,10061.8197,  0.00,1451.1320,2019111501001,1457.32,1457.32,1
-65.401218,98.737598,10061.9262,  0.00,1449.9543,2019111501001,1457.32,1457.32,1
-65.401251,98.737286,10062.0326,  0.00,1448.7779,2019111501001,1457.32,1457.32,1
-65.401283,98.736974,10062.1391,  0.00,1447.6022,2019111501001,1457.32,1457.32,1
-65.401316,98.736662,10062.2456,  0.00,1446.4275,2019111501001,1457.24,1457.24,1
-65.401349,98.736350,10062.3520,  0.00,1445.2534,2019111501001,1455.61,1455.61,1
-65.401381,98.736038,10062.4585,  0.00,1444.0801,2019111501001,1452.60,1452.60,1
-65.401414,98.735726,10062.5649,  0.00,1442.9077,2019111501001,1449.64,1449.64,1
-65.401447,98.735414,10062.6714,  0.00,1441.7360,2019111501001,1449.01,1449.01,1
-65.401480,98.735102,10062.7778,  0.00,1440.5650,2019111501001,1449.00,1449.00,1
-65.401512,98.734790,10062.8842,  0.00,1439.3946,2019111501001,1449.00,1449.00,1
-65.401545,98.734478,10062.9907,  0.00,1438.2247,2019111501001,1449.00,1449.00,1
-65.401578,98.734166,10063.0971,  0.00,1437.0548,2019111501001,1449.00,1449.00,1
-65.401611,98.733854,10063.2035,  0.00,1435.8852,2019111501001,1447.98,1447.98,1
-65.401644,98.733542,10063.3099,  0.00,1434.7160,2019111501001,1444.95,1444.95,1
-65.401677,98.733231,10063.4163,  0.00,1433.5473,2019111501001,1441.93,1441.93,1
-65.401711,98.732919,10063.5227,  0.00,1432.3789,2019111501001,1440.70,1440.70,1
-65.401744,98.732607,10063.6291,  0.00,1431.2110,2019111501001,1440.67,1440.67,1
